section,row,n_section_id,n_row_id,valid
147LG,F,39,5,True
125LG,N,129,12,True
Loge Box VIP & MVP 120,D,126,3,True
Field Box FB46,D,214,3,True
40FD,F,208,5,True
Loge Box 161,L,63,10,True
7FD,J,168,8,True
5TD,B,289,1,True
5RS,C,109,2,True
6RS,F,106,5,True
167LG,G,135,6,True
48FD,G,216,7,True
27FD,E,285,4,True
Lower Reserve LR55,B,77,1,True
Loge Box VIP & MVP 127,F,127,5,True
302PR,C,114,2,True
Infield Reserve IFR10,K,217,9,True
Top Deck 5,B,289,1,True
Infield Box IFB34,P,159,14,True
48RS,R,132,15,True
Loge Box MVP 133,H,71,7,True
11RS,J,199,8,True
Loge 162,A,279,0,True
Loge 131,E,69,4,True
44RS,U,189,18,True
16FD,J,262,8,True
47RS,R,287,15,True
51FD,L,180,11,True
Loge 102,A,247,0,True
Preferred Loge Box 153,E,4,4,True
46FD,O,214,13,True
Top Deck 5,E,289,4,True
Loge Box 159,S,13,16,True
12FD,A,258,0,True
Reserve MVP 10,S,217,16,True
Loge 118,B,47,1,True
Pavilion 306,C,115,2,True
36FD,E,230,4,True
27RS,M,193,11,True
48FD,A,216,1,True
INFIELD BOX VALUE 39,K,196,9,True
39BL,4,174,3,True
148LG,F,36,5,True
Preferred Loge Box Value Front Row 164,A,277,0,True
28RS,M,133,11,True
All You Can Eat Right Field Pavilion VIP 306,C,115,2,True
13TD,D,237,3,True
Field Box FB47,B,213,1,True
Loge Box 158,M,12,11,True
Pavilion 309,O,88,13,True
26RS,AA,194,1,True
Loge Box VIP & MVP 133,H,71,7,True
Left Field Pavilion 305,Q,101,15,True
All You Can Eat Right Field Pavilion VIP 304,D,117,3,True
Preferred Reserve 28,L,133,10,True
Loge 120,L,126,10,True
Reserve MVP 2,G,110,6,True
Infield Box Value 39,N,196,12,True
Infield Loge Box Value 148,L,36,10,True
Infield Reserve Value VIP 36,B,150,1,True
Reserve R42,JJ,124,8,True
39FD,N,196,12,True
27FD,G,285,6,True
38RS,JJ,248,8,True
52FD,D,177,4,True
12TD,L,207,10,True
Loge Box 162,A,279,0,True
160LG,E,281,4,True
Infield Reserve IFR11,C,199,2,True
306PR,B,115,1,True
146LG,P,40,14,True
49RS,AA,246,0,True
Loge 159,O,13,13,True
129LG,C,120,2,True
48FD,A,216,1,True
29FD,S,231,16,True
Loge Box 168,K,284,9,True
Preferred Reserve 35,F,153,5,True
Loge 159,S,13,16,True
10FD,L,260,10,True
145LG,F,37,5,True
Top Deck TD9,H,11,7,True
Top Deck 6,E,1,4,True
44RS,C,189,2,True
Infield Box IFB29,B,231,1,True
2DG,HH,99,7,True
Preferred Reserve 27,C,193,2,True
51RS,C,81,2,True
Preferred Reserve Front Row 52,A,82,0,True
RESERVE VIP 4,B,108,1,True
148LG,C,36,2,True
24RS,E,255,4,True
7FD,C,168,2,True
4TD,E,229,4,True
37FD,S,186,16,True
44FD,E,212,4,True
Reserve MVP 5,C,109,2,True
Top Deck 7,J,201,8,True
Preferred Reserve 27,O,193,13,True
